Location_ID,Postal_Code,City,State,Region
LOC-0001,42420,Henderson,Kentucky,South
LOC-0002,90036,Los Angeles,California,West
LOC-0003,33311,Fort Lauderdale,Florida,South
LOC-0004,90032,Los Angeles,California,West
LOC-0005,28027,Concord,North Carolina,South
LOC-0006,98103,Seattle,Washington,West
LOC-0007,76106,Fort Worth,Texas,Central
LOC-0008,53711,Madison,Wisconsin,Central
LOC-0009,84084,West Jordan,Utah,West
LOC-0010,94109,San Francisco,California,West
LOC-0011,68025,Fremont,Nebraska,Central
LOC-0012,19140,Philadelphia,Pennsylvania,East
LOC-0013,84057,Orem,Utah,West
LOC-0014,90049,Los Angeles,California,West
LOC-0015,77095,Houston,Texas,Central
LOC-0016,75080,Richardson,Texas,Central
LOC-0017,77041,Houston,Texas,Central
LOC-0018,60540,Naperville,Illinois,Central
LOC-0019,32935,Melbourne,Florida,South
LOC-0020,55122,Eagan,Minnesota,Central
LOC-0021,48185,Westland,Michigan,Central
LOC-0022,19901,Dover,Delaware,East
LOC-0023,47150,New Albany,Indiana,Central
LOC-0024,10024,New York City,New York,East
LOC-0025,12180,Troy,New York,East
LOC-0026,90004,Los Angeles,California,West
LOC-0027,60610,Chicago,Illinois,Central
LOC-0028,85234,Gilbert,Arizona,West
LOC-0029,22153,Springfield,Virginia,South
LOC-0030,10009,New York City,New York,East
LOC-0031,49201,Jackson,Michigan,Central
LOC-0032,38109,Memphis,Tennessee,South
LOC-0033,77070,Houston,Texas,Central
LOC-0034,35601,Decatur,Alabama,South
LOC-0035,94122,San Francisco,California,West
LOC-0036,27707,Durham,North Carolina,South
LOC-0037,60623,Chicago,Illinois,Central
LOC-0038,29203,Columbia,South Carolina,South
LOC-0039,55901,Rochester,Minnesota,Central
LOC-0040,55407,Minneapolis,Minnesota,Central
LOC-0041,97206,Portland,Oregon,West
LOC-0042,55106,Saint Paul,Minnesota,Central
LOC-0043,80013,Aurora,Colorado,West
LOC-0044,28205,Charlotte,North Carolina,South
LOC-0045,60462,Orland Park,Illinois,Central
LOC-0046,10035,New York City,New York,East
