Row_ID,Order_ID,Order_Date,Ship_Date,Customer_ID,Product_ID,Location_ID,Shipping_ID,Sales,Quantity,Discount,Profit,Actual_Fulfillment_Days,Shipping_Cost_Per_Unit,Shipping_Cost,Unit_Cost,Net_Profit,Net_Profit_Margin
1,CA-2016-152156,2016-11-08,2016-11-11,CG-12520,FUR-BO-10001798,LOC-0001,SC_S,261.96,2,0.0,41.9136,3,6.6000000000000005,13.200000000000001,110.02319999999999,28.7136,10.961062757672927
2,CA-2016-152156,2016-11-08,2016-11-11,CG-12520,FUR-CH-10000454,LOC-0001,SC_S,731.94,3,0.0,219.582,3,6.6000000000000005,19.8,170.78600000000003,199.78199999999998,27.29486023444544
3,CA-2016-138688,2016-06-12,2016-06-16,DV-13045,OFF-LA-10000240,LOC-0002,SC_W,14.62,2,0.0,6.8714,4,4.0,8.0,3.8742999999999994,-1.1285999999999996,-7.7195622435020494
4,US-2015-108966,2015-10-11,2015-10-18,SO-20335,FUR-TA-10000577,LOC-0003,STD_S,957.5775,5,0.45,-383.031,7,3.0,15.0,268.12170000000003,-398.031,-41.566452845853206
5,US-2015-108966,2015-10-11,2015-10-18,SO-20335,OFF-ST-10000760,LOC-0003,STD_S,22.368,2,0.2,2.5164,7,1.5,3.0,9.925799999999999,-0.48360000000000003,-2.1620171673819746
6,CA-2014-115812,2014-06-09,2014-06-14,BH-11710,FUR-FU-10001487,LOC-0004,STD_W,48.86,7,0.0,14.1694,5,3.75,26.25,4.955800000000001,-12.0806,-24.724928366762178
7,CA-2014-115812,2014-06-09,2014-06-14,BH-11710,OFF-AR-10002833,LOC-0004,STD_W,7.28,4,0.0,1.9656,5,2.5,10.0,1.3286,-8.0344,-110.36263736263736
8,CA-2014-115812,2014-06-09,2014-06-14,BH-11710,TEC-PH-10002275,LOC-0004,STD_W,907.152,6,0.2,90.7152,5,3.75,22.5,136.0728,68.2152,7.519710037568124
9,CA-2014-115812,2014-06-09,2014-06-14,BH-11710,OFF-BI-10003910,LOC-0004,STD_W,18.504,3,0.2,5.7825,5,2.5,7.5,4.240500000000001,-1.7175000000000002,-9.28177691309987
10,CA-2014-115812,2014-06-09,2014-06-14,BH-11710,OFF-AP-10002892,LOC-0004,STD_W,114.9,5,0.0,34.47,5,3.75,18.75,16.086000000000002,15.719999999999999,13.681462140992165
11,CA-2014-115812,2014-06-09,2014-06-14,BH-11710,FUR-TA-10001539,LOC-0004,STD_W,1706.184,9,0.2,85.3092,5,7.5,67.5,180.09720000000002,17.809200000000004,1.0438030130396256
12,CA-2014-115812,2014-06-09,2014-06-14,BH-11710,TEC-PH-10002033,LOC-0004,STD_W,911.424,4,0.2,68.3568,5,3.75,15.0,210.7668,53.35680000000001,5.854223720244366
